,Index,Project,Rate,Expertise_level,Time,Posted_time,Description,Skills,PaymentÂ ,Stars,Spent_amount,Required_connection,Location
0,1,Wholesale Real Estate VA,,,,,,,,,,,
1,2,Wholesale Real Estate VA,,,,,,,,,,,
2,3,Wholesale Real Estate VA,,,,,,,,,,,
3,4,Wholesale Real Estate VA,,,,,,,,,,,
4,5,Wholesale Real Estate VA,,,,,,,,,,,
5,6,Wholesale Real Estate VA,,,,,,,,,,,
6,7,Wholesale Real Estate VA,,,,,,,,,,,
7,8,Wholesale Real Estate VA,,,,,,,,,,,
8,9,Wholesale Real Estate VA,,,,,,,,,,,
9,10,Wholesale Real Estate VA,,,,,,,,,,,
